case,M,N,K,scalar_total_cycles,parallel_total_cycles,total_speedup,scalar_compute_cycles,parallel_compute_cycles,compute_speedup,scalar_dma_cycles,parallel_dma_cycles
signed_min_1x1_int32,1,1,1,50,44,1.136364,15,9,1.666667,11,11
basic_2x2_int32,2,2,2,104,90,1.155556,24,10,2.400000,56,56
fpga_ab_8x8x8_int32,8,8,8,1037,795,1.304403,309,67,4.611940,704,704
edge_5x3x7_int32,5,3,7,546,441,1.238095,137,32,4.281250,385,385
edge_3x5x5_quant_shift2,3,5,5,375,304,1.233553,101,30,3.366667,250,250
positive_saturation,4,4,8,374,312,1.198718,78,16,4.875000,272,272
negative_saturation,4,4,8,454,392,1.158163,78,16,4.875000,352,352
edge_7x6x3_quant_relu,7,6,3,642,575,1.116522,129,62,2.080645,489,489
relu_2x3x4_int32,2,3,4,182,152,1.197368,42,12,3.500000,116,116
edge_6x5x7_int32,6,5,7,678,471,1.439490,273,66,4.136364,381,381
backpressured_5x5x5_quant,5,5,5,875,738,1.185637,201,64,3.140625,650,650
backpressured_1x6x5_relu,1,6,5,465,394,1.180203,101,30,3.366667,340,340
stress_00_15x8x3,15,8,3,1466,1339,1.094847,257,130,1.976923,1185,1185
stress_01_9x10x7,9,10,7,1709,1247,1.370489,613,151,4.059603,1072,1072
stress_02_3x15x1,3,15,1,495,489,1.012270,66,60,1.100000,405,405
stress_03_10x1x1,10,1,1,219,213,1.028169,49,43,1.139535,146,146
stress_04_4x4x2,4,4,2,304,290,1.048276,24,10,2.400000,256,256
stress_05_6x1x8,6,1,8,377,255,1.478431,155,33,4.696970,198,198
stress_06_5x4x1,5,4,1,212,206,1.029126,32,26,1.230769,156,156
stress_07_7x9x1,7,9,1,724,718,1.008357,100,94,1.063830,600,600
stress_08_15x6x3,15,6,3,1379,1252,1.101438,257,130,1.976923,1098,1098
stress_09_4x2x3,4,2,3,255,233,1.094421,33,11,3.000000,198,198
stress_10_4x15x15,4,15,15,1740,1268,1.372240,561,89,6.303371,1155,1155
stress_11_14x8x5,14,8,5,1981,1712,1.157126,401,132,3.037879,1556,1556
stress_12_8x9x10,8,9,10,1949,1481,1.316003,571,103,5.543689,1354,1354
stress_13_14x8x2,14,8,2,1369,1313,1.042650,185,129,1.434109,1160,1160
stress_14_10x13x2,10,13,2,1969,1889,1.042350,277,197,1.406091,1668,1668
stress_15_4x7x15,4,7,15,940,704,1.335227,281,45,6.244444,635,635
stress_16_13x4x13,13,4,13,1709,1301,1.313605,489,81,6.037037,1196,1196
stress_17_10x10x12,10,10,12,2942,2096,1.403626,1018,172,5.918605,1900,1900
stress_18_15x9x11,15,9,11,3937,2905,1.355250,1249,217,5.755760,2664,2664
stress_19_13x3x12,13,3,12,2172,1796,1.209354,453,77,5.883117,1695,1695
stress_20_1x6x10,1,6,10,455,299,1.521739,191,35,5.457143,240,240
stress_21_13x1x2,13,1,2,348,316,1.101266,93,61,1.524590,231,231
stress_22_4x11x10,4,11,10,1756,1522,1.153745,286,52,5.500000,1446,1446
stress_23_5x15x5,5,15,5,1625,1356,1.198378,401,132,3.037879,1200,1200
stress_24_12x13x5,12,13,5,2904,2503,1.160208,601,200,3.005000,2279,2279
stress_25_10x13x8,10,13,8,2151,1429,1.505248,925,203,4.556650,1202,1202
stress_26_5x12x4,5,12,4,903,753,1.199203,247,97,2.546392,632,632
stress_27_4x10x13,4,10,13,1581,1275,1.240000,367,61,6.016393,1190,1190
stress_28_12x6x8,12,6,8,2143,1781,1.203257,463,101,4.584158,1656,1656
stress_29_2x11x2,2,11,2,474,448,1.058036,70,44,1.590909,380,380
stress_30_1x6x1,1,6,1,107,101,1.059406,32,26,1.230769,51,51
stress_31_14x8x9,14,8,9,2177,1624,1.340517,689,136,5.066176,1464,1464
stress_32_14x10x11,14,10,11,3573,2541,1.406139,1249,217,5.755760,2300,2300
stress_33_8x15x11,8,15,11,4081,3393,1.202770,833,145,5.744828,3224,3224
stress_34_14x2x8,14,2,8,1481,1239,1.195319,309,67,4.611940,1148,1148
stress_35_5x7x15,5,7,15,1515,1043,1.452541,561,89,6.303371,930,930
stress_36_13x3x5,13,3,5,779,642,1.213396,201,64,3.140625,554,554
stress_37_11x6x4,11,6,4,1073,923,1.162514,247,97,2.546392,802,802
stress_38_8x7x7,8,7,7,1375,1168,1.177226,273,66,4.136364,1078,1078
stress_39_11x10x13,11,10,13,4024,3106,1.295557,1099,181,6.071823,2901,2901
stress_40_9x8x15,9,8,15,1990,1282,1.552262,841,133,6.323308,1125,1125
stress_41_9x13x2,9,13,2,1179,1099,1.072793,277,197,1.406091,878,878
stress_42_8x3x9,8,3,9,983,844,1.164692,173,34,5.088235,786,786
stress_43_11x14x5,11,14,5,2607,2206,1.181777,601,200,3.005000,1982,1982
stress_44_1x8x15,1,8,15,1608,1372,1.172012,281,45,6.244444,1303,1303
stress_45_5x14x7,5,14,7,1318,907,1.453142,545,134,4.067164,749,749
stress_46_14x5x14,14,5,14,2557,1677,1.524747,1049,169,6.207101,1484,1484
stress_47_1x5x4,1,5,4,262,208,1.259615,83,29,2.862069,155,155
stress_48_9x9x1,9,9,1,931,925,1.006486,151,145,1.041379,756,756
stress_49_1x5x12,1,5,12,877,689,1.272859,227,39,5.820513,626,626
stress_50_4x10x4,4,10,4,516,438,1.178082,124,46,2.695652,368,368
stress_51_1x3x5,1,3,5,173,135,1.281481,51,13,3.923077,98,98
