signal,absolute_time_ps,time_from_start_ns,value
accel_busy,32380000,0.000,0
accel_busy,32415000,35.000,1
accel_busy,39775000,7395.000,0
dma_busy,32380000,0.000,0
dma_busy,32425000,45.000,1
dma_busy,34425000,2045.000,0
dma_busy,34445000,2065.000,1
dma_busy,36445000,4065.000,0
dma_busy,37265000,4885.000,1
dma_busy,39765000,7385.000,0
compute_busy,32380000,0.000,0
compute_busy,36465000,4085.000,1
compute_busy,37105000,4725.000,0
mac_en,32380000,0.000,0
mac_en,36505000,4125.000,1
mac_en,36555000,4175.000,0
mac_en,36625000,4245.000,1
mac_en,36675000,4295.000,0
mac_en,36795000,4415.000,1
mac_en,36845000,4465.000,0
mac_en,36965000,4585.000,1
mac_en,37015000,4635.000,0
output_writer_busy,32380000,0.000,0
output_writer_busy,36575000,4195.000,1
output_writer_busy,36735000,4355.000,0
output_writer_busy,36745000,4365.000,1
output_writer_busy,36905000,4525.000,0
output_writer_busy,36915000,4535.000,1
output_writer_busy,37075000,4695.000,0
output_writer_busy,37085000,4705.000,1
output_writer_busy,37245000,4865.000,0
irq,32380000,0.000,0
irq,39785000,7405.000,1
mem_req_valid,32380000,0.000,0
mem_req_valid,32425000,45.000,1
mem_req_valid,32455000,75.000,0
mem_req_valid,32505000,125.000,1
mem_req_valid,32535000,155.000,0
mem_req_valid,32585000,205.000,1
mem_req_valid,32615000,235.000,0
mem_req_valid,32665000,285.000,1
mem_req_valid,32695000,315.000,0
mem_req_valid,32745000,365.000,1
mem_req_valid,32775000,395.000,0
mem_req_valid,32825000,445.000,1
mem_req_valid,32855000,475.000,0
mem_req_valid,32905000,525.000,1
mem_req_valid,32935000,555.000,0
mem_req_valid,32985000,605.000,1
mem_req_valid,33015000,635.000,0
mem_req_valid,33065000,685.000,1
mem_req_valid,33095000,715.000,0
mem_req_valid,33145000,765.000,1
mem_req_valid,33175000,795.000,0
mem_req_valid,33225000,845.000,1
mem_req_valid,33255000,875.000,0
mem_req_valid,33305000,925.000,1
mem_req_valid,33335000,955.000,0
mem_req_valid,33385000,1005.000,1
mem_req_valid,33415000,1035.000,0
mem_req_valid,33465000,1085.000,1
mem_req_valid,33495000,1115.000,0
mem_req_valid,33545000,1165.000,1
mem_req_valid,33575000,1195.000,0
mem_req_valid,33625000,1245.000,1
mem_req_valid,33655000,1275.000,0
mem_req_valid,33705000,1325.000,1
mem_req_valid,33735000,1355.000,0
mem_req_valid,33785000,1405.000,1
mem_req_valid,33815000,1435.000,0
mem_req_valid,33865000,1485.000,1
mem_req_valid,33895000,1515.000,0
mem_req_valid,33945000,1565.000,1
mem_req_valid,33975000,1595.000,0
mem_req_valid,34025000,1645.000,1
mem_req_valid,34055000,1675.000,0
mem_req_valid,34105000,1725.000,1
mem_req_valid,34135000,1755.000,0
mem_req_valid,34185000,1805.000,1
mem_req_valid,34215000,1835.000,0
mem_req_valid,34265000,1885.000,1
mem_req_valid,34295000,1915.000,0
mem_req_valid,34345000,1965.000,1
mem_req_valid,34375000,1995.000,0
mem_req_valid,34445000,2065.000,1
mem_req_valid,34475000,2095.000,0
mem_req_valid,34525000,2145.000,1
mem_req_valid,34555000,2175.000,0
mem_req_valid,34605000,2225.000,1
mem_req_valid,34635000,2255.000,0
mem_req_valid,34685000,2305.000,1
mem_req_valid,34715000,2335.000,0
mem_req_valid,34765000,2385.000,1
mem_req_valid,34795000,2415.000,0
mem_req_valid,34845000,2465.000,1
mem_req_valid,34875000,2495.000,0
mem_req_valid,34925000,2545.000,1
mem_req_valid,34955000,2575.000,0
mem_req_valid,35005000,2625.000,1
mem_req_valid,35035000,2655.000,0
mem_req_valid,35085000,2705.000,1
mem_req_valid,35115000,2735.000,0
mem_req_valid,35165000,2785.000,1
mem_req_valid,35195000,2815.000,0
mem_req_valid,35245000,2865.000,1
mem_req_valid,35275000,2895.000,0
mem_req_valid,35325000,2945.000,1
mem_req_valid,35355000,2975.000,0
mem_req_valid,35405000,3025.000,1
mem_req_valid,35435000,3055.000,0
mem_req_valid,35485000,3105.000,1
mem_req_valid,35515000,3135.000,0
mem_req_valid,35565000,3185.000,1
mem_req_valid,35595000,3215.000,0
mem_req_valid,35645000,3265.000,1
mem_req_valid,35675000,3295.000,0
mem_req_valid,35725000,3345.000,1
mem_req_valid,35755000,3375.000,0
mem_req_valid,35805000,3425.000,1
mem_req_valid,35835000,3455.000,0
mem_req_valid,35885000,3505.000,1
mem_req_valid,35915000,3535.000,0
mem_req_valid,35965000,3585.000,1
mem_req_valid,35995000,3615.000,0
mem_req_valid,36045000,3665.000,1
mem_req_valid,36075000,3695.000,0
mem_req_valid,36125000,3745.000,1
mem_req_valid,36155000,3775.000,0
mem_req_valid,36205000,3825.000,1
mem_req_valid,36235000,3855.000,0
mem_req_valid,36285000,3905.000,1
mem_req_valid,36315000,3935.000,0
mem_req_valid,36365000,3985.000,1
mem_req_valid,36395000,4015.000,0
mem_req_valid,37285000,4905.000,1
mem_req_valid,37315000,4935.000,0
mem_req_valid,37385000,5005.000,1
mem_req_valid,37415000,5035.000,0
mem_req_valid,37485000,5105.000,1
mem_req_valid,37515000,5135.000,0
