case,M,N,K,output_mode,relu,quant_shift,memory_profile,case_class,total_cycles,mac_cycles,compute_cycles,dma_cycles,stall_cycles,mac_utilization_pct,effective_ops_per_cycle
signed_min_1x1_int32,1,1,1,INT32,disabled,0,zero-wait,directed-benchmark,44,1,9,11,0,6.250,0.045455
basic_2x2_int32,2,2,2,INT32,disabled,0,zero-wait,directed-benchmark,90,2,10,56,0,25.000,0.177778
edge_5x3x7_int32,5,3,7,INT32,disabled,0,zero-wait,directed-benchmark,441,14,32,385,0,46.875,0.476190
edge_3x5x5_quant_shift2,3,5,5,INT8,disabled,2,zero-wait,directed-benchmark,304,10,30,250,0,46.875,0.493421
positive_saturation,4,4,8,INT8,disabled,0,zero-wait,directed-benchmark,312,8,16,272,0,100.000,0.820513
negative_saturation,4,4,8,INT8,disabled,0,zero-wait,directed-benchmark,392,8,16,352,0,100.000,0.653061
edge_7x6x3_quant_relu,7,6,3,INT8,enabled,1,zero-wait,directed-benchmark,575,12,62,489,0,65.625,0.438261
relu_2x3x4_int32,2,3,4,INT32,enabled,0,zero-wait,directed-benchmark,152,4,12,116,0,37.500,0.315789
edge_6x5x7_int32,6,5,7,INT32,disabled,0,zero-wait,directed-benchmark,471,28,66,381,0,46.875,0.891720
backpressured_5x5x5_quant,5,5,5,INT8,disabled,3,stalled-2,directed-benchmark,738,20,64,650,150,39.063,0.338753
backpressured_1x6x5_relu,1,6,5,INT8,enabled,2,stalled-1,directed-benchmark,394,10,30,340,41,18.750,0.152284
stress_00_15x8x3,15,8,3,INT32,disabled,0,stalled-2,constrained-random-stress,1339,24,130,1185,378,93.750,0.537715
stress_01_9x10x7,9,10,7,INT8,disabled,1,zero-wait,constrained-random-stress,1247,63,151,1072,0,62.500,1.010425
stress_02_3x15x1,3,15,1,INT32,enabled,2,zero-wait,constrained-random-stress,489,4,60,405,0,70.313,0.184049
stress_03_10x1x1,10,1,1,INT8,enabled,3,zero-wait,constrained-random-stress,213,3,43,146,0,20.833,0.093897
stress_04_4x4x2,4,4,2,INT32,disabled,7,zero-wait,constrained-random-stress,290,2,10,256,0,100.000,0.220690
stress_05_6x1x8,6,1,8,INT8,disabled,15,zero-wait,constrained-random-stress,255,16,33,198,0,18.750,0.376471
stress_06_5x4x1,5,4,1,INT32,enabled,31,zero-wait,constrained-random-stress,206,2,26,156,0,62.500,0.194175
stress_07_7x9x1,7,9,1,INT8,enabled,0,stalled-1,constrained-random-stress,718,6,94,600,79,65.625,0.175487
stress_08_15x6x3,15,6,3,INT32,disabled,1,zero-wait,constrained-random-stress,1252,24,130,1098,0,70.313,0.431310
